Ticker,Variance,Volatility
PPG,0.07853738213191129,0.28024521785734596
DELL,0.060596791261340974,0.24616415511065168
QCOM,0.17585351252856965,0.41934891502014127
AMAT,0.19231423561218483,0.43853647010503566
MRK,0.06960123960835247,0.2638204685166647
AME,0.077294280894122,0.2780184902018605
PG,0.04342049396482264,0.20837584784428026
CL,0.04618643678329354,0.21491029938859035
V,0.05596508059559336,0.2365693991106909
MA,0.07973485557669815,0.28237360991547733
MU,0.3106748545865259,0.5573821441224377
T,0.06551905190318806,0.2559668961080476
JPM,0.13667071873417014,0.36969003061236333
JNJ,0.036973760111294114,0.19228562117666032
INTC,0.15565203411595627,0.3945276088133203
GE,0.1096841408446015,0.3311859611224508
MS,0.21945609973467445,0.46846141755183474
RTX,0.0764139238362994,0.2764306854101031
TXN,0.1420290970928438,0.3768674794842927
IBM,0.06770717522868645,0.26020602458184255
SPGI,0.08792079526468037,0.29651440987695754
LMT,0.0628271545738868,0.2506534551405322
ADP,0.061441843773803254,0.24787465335084838
COF,0.20750718243163743,0.45552956263193
WDC,0.3208317217258945,0.5664200929750767
ABT,0.05787183174819486,0.24056564955993792
GILD,0.14693964727910316,0.38332707611008016
UNP,0.07679258507825493,0.2771147507410151
ADI,0.16460214284501676,0.4057118963562897
TMUS,0.11568912727674542,0.34013104427080076
MMM,0.06123237471328916,0.24745176239681374
ADBE,0.17666353934626075,0.4203136202245423
AXP,0.1258707866426597,0.35478273160155316
BA,0.12425818460877792,0.35250274411524507
CVX,0.07533348519406977,0.2744694613141319
CSCO,0.13025871840906222,0.36091372709979075
DD,0.12014530034969138,0.346619821057151
XOM,0.06893826104714854,0.26256096634334003
FDX,0.10006788507195387,0.3163350835300344
GS,0.12784366035208045,0.3575523183424776
GM,0.06919016960798635,0.2630402433240708
HAS,0.10458353275164144,0.32339377352021087
JBL,0.24009110734279407,0.489990925775972
KMB,0.04360727360591519,0.20882354657919971
KLAC,0.20572984826178398,0.45357452338263443
LOW,0.10301804618619778,0.32096424440457194
MKC,0.04949514386763711,0.22247504099929302
NEM,0.15465556866078292,0.39326272218554215
OLN,0.17512242232548128,0.4184763103515912
PH,0.10449174902156708,0.32325183529497103
