Ticker,Variance,Volatility
PPG,0.07942495490043011,0.281824333407231
DELL,0.07594423302812109,0.2755798124466324
QCOM,0.18016608910906104,0.4244597614722284
AMAT,0.1985832333603243,0.44562678707672443
MRK,0.07025469194801304,0.2650560166229264
AME,0.07684326960831225,0.2772061860931539
PG,0.0434556664026395,0.20846022738795883
CL,0.046513371888549315,0.21566958962391827
V,0.0559577769862645,0.23655396210223262
MA,0.07923218163923797,0.28148211602025086
MU,0.3231965235782573,0.5685037586316006
T,0.06578991244897646,0.2564954433298503
JPM,0.13460612447426434,0.36688707319046326
JNJ,0.037121294400307876,0.192668872421852
INTC,0.17008748650547367,0.41241664188714994
GE,0.11030009200937738,0.3321145766288757
MS,0.21637980840827853,0.46516643086993986
RTX,0.07637508578716315,0.27636042731759397
TXN,0.14426361587816888,0.37982050481532575
IBM,0.07390060312403975,0.27184665369292255
SPGI,0.08870212395901159,0.29782901799356554
LMT,0.06375701988034779,0.25250152451093794
ADP,0.06223186718069347,0.2494631579626408
COF,0.20534376885209749,0.45314872707765325
WDC,0.33208929351322164,0.5762718920034376
ABT,0.0587329545840646,0.2423488283117222
GILD,0.14529012282783146,0.3811694148640883
UNP,0.07641759959941406,0.2764373339464372
ADI,0.16426536879321224,0.4052966429582316
TMUS,0.11549188006608302,0.33984096290188887
MMM,0.06160481978764088,0.2482031824688009
ADBE,0.17722571687894653,0.42098184863358007
AXP,0.12465854312424801,0.3530701674232022
BA,0.12413549908842716,0.3523286804795022
CVX,0.07515966609333284,0.27415263284041763
CSCO,0.13080416865771796,0.36166858953704834
DD,0.11967059473442797,0.34593437923170917
XOM,0.06929095239892501,0.26323174656360315
FDX,0.09991589167919887,0.31609475110985136
GS,0.12770135506529437,0.35735326368356335
GM,0.07029530910871726,0.2651326255079093
HAS,0.10484983930713142,0.3238052490419688
JBL,0.24017817246019757,0.4900797613248251
KMB,0.04414908735983285,0.21011684216129092
KLAC,0.21207157795173368,0.4605122994576081
LOW,0.10267938734330115,0.3204362453645048
MKC,0.05107345156005883,0.22599436178820664
NEM,0.1573703151068822,0.396699275405038
OLN,0.17863137510557758,0.42264805110822123
PH,0.10382062851594878,0.32221208623505854
